id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1212561,İstanbulun merkezi,6619392,Oğuz,,Sisli,41.064747096709716,29.01071242047072,Entire home/apt,536,1,0,,,1,364
1212902,Central located flat in Nisantasi,6621070,Atakan,,Sisli,41.05127831391773,28.98785723418958,Private room,123,3,5,2015-01-01,0.08,1,364
1212924,ART OF LIVING IN CITY CENTRE,1644176,Murat,,Beyoglu,41.03244731347634,28.98081352732334,Entire home/apt,214,2,125,2018-11-14,2.16,1,349
1213061,"Nişantaşı apartment, very central!",1329054,Pinar,,Sisli,41.05124539492334,28.98904988912979,Private room,241,3,2,2018-09-03,0.08,2,148
1218353,Easy and Peaceful Stay/Besiktas,6648330,Aslı,,Besiktas,41.04478813005071,29.008265708138403,Private room,134,2,15,2014-10-23,0.23,1,0
1218451,The White Swan Suites Beyoglu,6536500,Merter,,Beyoglu,41.038384038789026,28.979427559462135,Private room,487,7,0,,,1,364
1219610,Spatious place in trendy Cihangir,6652535,Gozde,,Beyoglu,41.03099945813725,28.98826073120696,Entire home/apt,428,4,1,2013-06-25,0.02,1,363
1228408,GALATA TOWER AREA ANTİQUE FLAT,4372567,Htc,,Beyoglu,41.026950517826876,28.97698921292348,Entire home/apt,198,2,50,2018-11-15,1.22,2,322
1230718,Romantic Authenticity in Old Town Istanbul 2 Floor,6540040,Barbaros,,Fatih,41.00533379994934,28.96833658055744,Entire home/apt,787,2,187,2018-11-19,2.83,16,341
1230768,Luxury Family Apartment in the Heart of Old Town,6540040,Barbaros,,Fatih,41.005974870951256,28.968040104822684,Entire home/apt,300,2,81,2018-10-31,1.28,16,363
1233937,PANORAMIC SUITS,5160771,Hacı Ahmet,,Beyoglu,41.03286122326973,28.982296839693248,Entire home/apt,337,1,1,2013-09-05,0.02,5,365
1234099,PANORAMIC TERRACE GOOD VIEW,5160771,Hacı Ahmet,,Beyoglu,41.03477745640591,28.980623665569283,Entire home/apt,402,1,12,2018-11-04,0.32,5,365
1235446,"70sqm Studio in Galata,Beyoglu",6735146,Noa Luxury Apartments,,Beyoglu,41.02694370912428,28.97642755287215,Entire home/apt,461,3,17,2018-11-07,0.27,7,295
1239898,Private Room Istanbul Center,6008462,Kaan,,Sisli,41.067393387704335,28.98539269660557,Private room,70,1,0,,,1,365
1242040,Economy Room at Historic Kumkapi,6770114,Yilmaz,,Fatih,41.004766529625506,28.964610170114067,Private room,461,1,0,,,3,365
1242975,room for rent in middle of İstanbul,6774636,Gülten,,Sisli,41.06223751094857,28.976713903148525,Private room,536,2,0,,,1,365
1250615,sea wiev furnished room in kadikoy,6409998,Şule,,Kadikoy,40.995239138629714,29.027804595549792,Private room,70,2,1,2014-09-24,0.02,1,362
1253779,Stylish and nice apartment,6555247,Raven,,Beyoglu,41.03677386373379,28.98032539486218,Entire home/apt,359,1,32,2018-10-23,0.49,3,358
1254277,Beautiful and cozy apartment,6555247,Raven,,Beyoglu,41.037246061574,28.982462241981462,Entire home/apt,305,1,32,2018-10-29,0.55,3,360
1254515,The Beyoğlu House,6834355,Mahmut,,Beyoglu,41.03584372244331,28.979258481913412,Private room,187,1,0,,,1,365
1254941,Galata Life Istanbul,4108911,Özge,,Beyoglu,41.02712640563761,28.974306486592653,Private room,305,1,0,,,2,0
1255970,BEŞİKTAŞ / İSTANBUL,6840698,Ihsan,,Besiktas,41.05660522547515,29.007216137754902,Private room,155,1,0,,,1,364
1256070,Central Deluxe Double Room ,3215954,Koray,,Besiktas,41.04426596634914,29.000402265116755,Private room,214,1,0,,,1,364
1265444,"LOVELY ROOM, CENTRAL&SAFE LOCATION",6889295,Kutay,,Besiktas,41.0436791146804,28.997061669471915,Private room,80,90,0,,,2,364
1268910,for long term\Beyoğlu,6907063,Emrah,,Beyoglu,41.034797588382695,28.974015886089525,Private room,230,90,0,,,1,0
1269644,Nicy studio apartment in Cihangir,1167189,Bilgehan,,Beyoglu,41.03153771737204,28.98156491788414,Entire home/apt,305,5,13,2016-05-17,0.21,2,365
1272224,Simple is good/Heart of Taksim,5430878,Elif,,Beyoglu,41.033743024773244,28.987484183745657,Private room,273,3,1,2015-03-23,0.02,1,0
1282086,Modern Designed Apartment in Pera,6955932,Omar,,Beyoglu,41.035285730955486,28.978635867543456,Entire home/apt,380,2,62,2018-11-05,0.95,4,83
1282446,Historical Apartment in Pera,6955932,Omar,,Beyoglu,41.03578921812624,28.978558010830227,Entire home/apt,380,2,64,2018-10-14,0.99,4,86
1282825,Central Taksim Luxury Suite 503,1827414,Sena & Seran,,Beyoglu,41.02425842991106,28.976677205792942,Entire home/apt,439,2,40,2015-09-19,0.61,6,364
1283392,Rooftop Terrace  Ortakoy,6981928,Alican,,Besiktas,41.049998875408484,29.028575720678692,Entire home/apt,375,2,10,2018-09-23,0.16,1,359
1283896,Lovely Terrace Floor at Bebek,6853040,Murat,,Besiktas,41.08090625640998,29.04605663803682,Private room,102,1,0,,,1,365
1285884,Fully furnished 2 BR Flat in Taksim,6995342,Aysin,,Beyoglu,41.03696237363998,28.98226225093962,Private room,461,1,0,,,1,365
1285922,LARGE LUXURY FLAT  WITH SEA VIEW,6995622,Akin,,Kadikoy,40.981759803766245,29.02498974798873,Entire home/apt,803,7,0,,,1,324
1289980,Comfy stay in Sultanahmet area!,7015240,Sinan And Svetlana,,Fatih,41.005656767304366,28.97121420924993,Entire home/apt,337,1,14,2018-10-04,0.26,2,364
1290112,Economy Single Room in Kumkapi,6770114,Yilmaz,,Fatih,41.00339204426292,28.965080714533023,Private room,461,1,0,,,3,364
