id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15811441,Beautiful apartment in the center of Athens,31422096,Roula,,ΠΕΤΡΑΛΩΝΑ,37.966643782197224,23.712875240187337,Entire home/apt,65,2,11,2018-07-06,0.48,2,364
15814017,Gazi Divine Apartment,91843746,Κοσμας Ειρηνη,,ΒΟΤΑΝΙΚΟΣ,37.97979626633486,23.709525259673228,Entire home/apt,50,2,4,2017-05-06,0.19,2,325
15815337,Cosy and bright flat near the city centre,102354655,Christiana,,ΙΛΙΣΙΑ,37.97540841303497,23.752935148562376,Entire home/apt,20,60,65,2018-06-09,2.79,1,2
15819466,63m²Flat Dionysiou Areopagitou str.,29927830,"Dimitris, Konstantinos & Sevi",,ΑΚΡΟΠΟΛΗ,37.9708413887484,23.72735189479651,Entire home/apt,50,1,155,2018-11-12,6.62,87,320
15823638,Minimalist apartment with a view of the Acropolis,96915395,Kostas,,ΓΚΑΖΙ,37.9786703681011,23.71255365069294,Entire home/apt,80,2,45,2018-09-11,1.88,1,353
15825376,GRSTATH102-1 Senior Apartment with Acropolis view,202671992,Daily Let's,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98475037411657,23.728664493067324,Private room,410,1,0,,,5,348
15825888,Cozy flat in the centre of Athens,43342824,Fani,,ΓΟΥΔΙ,37.9860178505454,23.762559818746585,Entire home/apt,24,1,8,2017-07-09,0.34,1,287
15826095,GRSTATH102-2 Superior Apartment in Athens,202671992,Daily Let's,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.983061992993456,23.728803348929222,Private room,250,2,0,,,5,362
15826710,GRSTATH102-3 The Sidewalk Grand House with jacuzzi,202671992,Daily Let's,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98455979070893,23.729284249486486,Entire home/apt,640,1,0,,,5,348
15827156,Luxury Suite with Acropolis View in Athens Center,748818,George,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97865086625692,23.725846547541277,Entire home/apt,65,2,82,2018-09-26,3.36,79,349
15829689,Real Athenes fully renovated and equipped flat,30825029,Yehuda,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.962615439614474,23.722369732088556,Entire home/apt,52,3,0,,,2,88
15830844,Sunny and modern apartment in Syntagma with view!,81510108,Mary,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.976930291212874,23.732293425013943,Entire home/apt,79,3,151,2018-11-12,6.19,1,313
15830980,NEW 2SPC LOFT IN THE BEST DISTRICT/HISTORIC CNTR,4315682,Dimitris,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97670840647289,23.7287060886979,Entire home/apt,89,3,12,2018-06-05,0.53,9,365
15831118,NEW 3SPC PENTHOUSE ACROPOLIS VIEW HEART HISTORIC,4315682,Dimitris,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97804914792664,23.728379746244965,Entire home/apt,129,3,48,2018-10-28,2.47,9,344
15831232,NEW LOFT STUDIO ACROPOLIS VIEW HEART HISTORIC CNTR,4315682,Dimitris,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97617822456133,23.72848844197046,Entire home/apt,65,3,5,2018-06-15,0.22,9,365
15831933,STAR Acropolis,101471559,Argyro & Raphael,,ΑΚΡΟΠΟΛΗ,37.968502831862516,23.728767702123356,Entire home/apt,110,2,4,2017-03-17,0.17,1,321
15836230,Your Athens Home!!Center-110sq-Evangelismos Metro,98376260,Konstantina,,ΙΛΙΣΙΑ,37.97366324901794,23.749425096195093,Entire home/apt,51,1,76,2018-09-12,3.11,1,333
15841192,Acropolis view apartment in the heart of Plaka,102359731,Vassilios,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97430594362094,23.73071995884912,Entire home/apt,80,1,232,2018-10-31,10.06,1,281
15842789,Εxplore all your senses under the view of Akropole,70515622,Myrto,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96458192739244,23.722453501219825,Entire home/apt,80,1,9,2017-10-03,0.41,3,364
15843707,Center Art deco house 1930 next to metro.,47617379,Athens Houses,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99377588232757,23.731162545576424,Entire home/apt,30,3,111,2018-10-31,4.55,5,359
15847136,Stylish loft 10` from Athen's historical centre,90836779,George,,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,37.995896898016554,23.709731349726265,Entire home/apt,45,1,51,2018-11-10,2.31,1,311
15848423,Cosy apartment close city center and Acropolis,99420767,Anthi,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96042367507592,23.725776868444427,Entire home/apt,30,2,53,2018-11-10,6.21,1,260
15851225,"Central Country Style flat,at Panormou Metro st.",74425144,Μαρί,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98879078187168,23.762298087767725,Entire home/apt,80,3,19,2018-07-01,0.86,1,338
15851889,Central & quiet location-flat 75m2-nice view,102266188,Akis,,ΠΑΓΚΡΑΤΙ,37.971645190283226,23.74387307832879,Entire home/apt,38,2,77,2018-11-12,3.16,1,183
15852941,"Old Athens' ambiance,walk to Acropolis!With garden",102717876,Anastasia And  George,,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.964998436837796,23.73831061584191,Entire home/apt,39,3,91,2018-11-12,3.72,2,346
15855755,Renovated Neoclassical Apt 90m2 in City Centre,102746870,Giorgos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9849599974725,23.73294908280731,Entire home/apt,38,1,62,2018-10-30,2.61,2,180
15862659,Syntagma located studio apartment,102815752,Maria,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.979112739084194,23.729399257459846,Entire home/apt,50,2,83,2018-11-12,3.43,1,173
15864386,Compact self check in studio in central Athens.,14232250,Ioanna,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98384301497705,23.738820172182713,Entire home/apt,20,1,67,2018-10-03,2.91,1,344
15864843,Beautiful Studio 1 - Heart of Athens,89588884,Anna & Emmanuel,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.984570755746525,23.731926413291816,Entire home/apt,32,1,95,2018-10-27,4.05,5,365
